City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bud,US,2022-11-09 01:53:42,39.447,-86.1758,285.29,54,93,4.08
68,Neyshabur,IR,2022-11-09 01:53:42,36.2133,58.7958,276.45,36,100,0.55
69,Kiama,AU,2022-11-09 01:53:43,-34.6833,150.8667,295.69,62,29,5.81
70,Mangit,UZ,2022-11-09 01:53:43,40.5971,70.9607,277.63,67,4,1.46
71,Manokwari,ID,2022-11-09 01:53:43,-0.8667,134.0833,301.9,70,83,1.45
72,Kharp,RU,2022-11-09 01:53:44,66.8014,65.8081,265.79,96,100,1.66
73,Narsaq,GL,2022-11-09 01:53:44,60.9167,-46.05,265.38,70,7,3.4
74,Pangnirtung,CA,2022-11-09 01:53:45,66.1451,-65.7125,260.95,69,100,1.44
75,Kaitangata,NZ,2022-11-09 01:53:45,-46.2817,169.8464,288.48,66,100,5.26
76,Thompson,CA,2022-11-09 01:53:45,55.7435,-97.8558,259.24,85,100,4.12
77,Belaya Kholunitsa,RU,2022-11-09 01:53:46,58.84,50.8528,273.86,98,100,3.05
78,Coihaique,CL,2022-11-09 01:50:01,-45.5752,-72.0662,285.49,82,0,0.51
79,Kaeo,NZ,2022-11-09 01:53:46,-35.1,173.7833,291.24,87,81,1.12
80,Mbanza-Ngungu,CD,2022-11-09 01:53:47,-5.25,14.8667,292.77,98,100,2.36
81,Atuona,PF,2022-11-09 01:50:30,-9.8,-139.0333,298.28,72,6,6.69
82,Comarapa,BO,2022-11-09 01:53:47,-17.9,-64.4833,285.18,74,7,0.84
83,Bengkulu,ID,2022-11-09 01:53:47,-3.8004,102.2655,298.94,84,100,1.08
84,Taltal,CL,2022-11-09 01:50:20,-25.4,-70.4833,288.77,82,67,0.37
85,Alyangula,AU,2022-11-09 01:52:52,-13.8483,136.4192,303.54,65,4,4.82
86,Chipiona,ES,2022-11-09 01:53:48,36.7366,-6.437,289.43,94,75,1.03
87,Bambanglipuro,ID,2022-11-09 01:53:48,-7.95,110.2833,301.59,69,70,0.89
88,Pisco,PE,2022-11-09 01:53:49,-13.7,-76.2167,290.18,88,2,4.63
89,Santa Cruz,BO,2022-11-09 01:54:49,-17.8,-63.1667,298.85,57,61,2.57
90,Villarrica,PY,2022-11-09 01:54:49,-25.75,-56.4333,289.95,66,72,2.03
91,Camargo,MX,2022-11-09 01:54:50,27.6667,-105.1667,295.37,43,100,4.08
92,Hasaki,JP,2022-11-09 01:54:50,35.7333,140.8333,291.09,46,51,1.87
93,Ponta Do Sol,PT,2022-11-09 01:54:50,32.6667,-17.1,294.66,83,31,2.78
94,Kholodnyy,RU,2022-11-09 01:54:51,62.7167,147.95,254.43,94,100,1.5
