City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Laguna,US,38.421,-121.4238,288.74,49,0,2.57,clear sky
80,Lagos,NG,6.5833,3.75,300.33,88,3,0.16,clear sky
81,Velez-Malaga,ES,36.7726,-4.1005,292.03,70,38,3.63,scattered clouds
82,Nimes,FR,43.8333,4.35,282.81,76,0,0.51,clear sky
83,Nikolskoye,RU,59.7035,30.7861,270.09,93,100,2.88,overcast clouds
84,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,273.48,64,75,5.0,light shower snow
85,Barrow,US,71.2906,-156.7887,262.88,80,100,9.3,overcast clouds
86,Husavik,IS,66.0449,-17.3389,275.36,82,100,7.45,overcast clouds
87,Cape Town,ZA,-33.9258,18.4232,290.44,87,2,1.79,clear sky
88,Nalut,LY,30.3333,10.85,285.05,39,5,4.98,clear sky
89,Rochegda,RU,62.8,43.25,260.27,95,16,1.63,few clouds
90,Ponta Do Sol,PT,32.6667,-17.1,294.1,75,29,1.86,scattered clouds
91,Gainesville,US,29.6516,-82.3248,291.49,85,100,0.45,overcast clouds
92,Aklavik,CA,68.2191,-135.0107,264.04,95,100,5.45,light snow
93,Mizan Teferi,ET,6.9833,35.5833,288.66,84,74,1.4,broken clouds
94,New Norfolk,AU,-42.7826,147.0587,288.66,43,14,2.24,few clouds
95,Hithadhoo,MV,-0.6,73.0833,299.73,78,100,5.09,overcast clouds
96,Adre,TD,13.4667,22.2,293.7,28,11,5.92,few clouds
97,Harnosand,SE,62.6323,17.9379,274.26,74,100,6.04,overcast clouds
98,Portland,US,45.5234,-122.6762,285.13,91,75,2.68,broken clouds
99,Chokurdakh,RU,70.6333,147.9167,238.73,100,99,1.05,overcast clouds
100,Cuamba,MZ,-14.8031,36.5372,295.31,79,44,1.37,scattered clouds
101,Tautira,PF,-17.7333,-149.15,298.27,82,100,6.51,overcast clouds
102,Marseille,FR,43.3333,5.5,282.37,79,9,2.68,clear sky
103,Ribeira Grande,PT,38.5167,-28.7,290.25,81,100,0.45,overcast clouds
104,Inta,RU,66.0317,60.1659,248.06,97,52,3.73,broken clouds
105,Hilo,US,19.7297,-155.09,300.0,61,40,3.09,scattered clouds
106,Lorengau,PG,-2.0226,147.2712,301.24,77,100,4.3,overcast clouds
107,Cabedelo,BR,-6.9811,-34.8339,297.52,75,100,6.01,overcast clouds
